id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,country
,Lugari,10300366,1,104,3.466667,0.2884615,1.442308,4,3,2015/01/29,2015/08/07,1
,Lugari,10300367,4,105,3.5,1.142857,5.714286,3,6,2015/01/28,2015/05/13,1
,Lugari,10300369,,,,,,4,3,2015/01/28,2015/08/07,1
,Lugari,10300370,,,,,,3,2,2015/01/28,2015/08/06,1
,Lugari,10300371,2,215,7.166667,0.2790698,1.395349,4,5,2014/06/27,2015/08/07,1
,Lugari,10300372,3,106,3.533333,0.8490566,4.245283,5,10,2014/06/27,2015/05/14,1
,Lugari,10300374,,,,,,1,2,2015/01/28,2015/01/28,1
,Lugari,10300375,,,,,,4,6,2014/06/28,2015/08/04,1
,Lugari,10300376,6,112,3.733333,1.607143,8.035714,6,8,2014/07/02,2015/08/06,1
,Lugari,10300377,,,,,,2,4,2014/07/22,2015/05/14,1
,Lugari,10300379,3,193,6.433333,0.4663212,2.331606,6,8,2014/07/02,2015/08/04,1
,Lugari,10300380,9,318,10.6,0.8490566,4.245283,5,9,2014/06/30,2015/08/04,1
,Lugari,10300381,8,326,10.86667,0.7361963,3.680982,4,12,2014/06/30,2015/08/04,1
,Lugari,10300382,8,308,10.26667,0.7792208,3.896104,4,12,2014/06/30,2015/05/04,1
,Lugari,10300383,,,,,,4,4,2014/07/14,2015/09/24,1
,Lugari,10300385,9,261,8.7,1.034483,5.172414,6,14,2014/07/01,2015/08/31,1
,Lugari,10300386,2,195,6.5,0.3076923,1.538462,4,6,2014/07/04,2015/09/11,1
,Lugari,10300387,11,318,10.6,1.037736,5.188679,4,11,2014/07/01,2015/05/15,1
,Lugari,10300388,10,318,10.6,0.9433962,4.716981,4,10,2014/07/01,2015/08/06,1
,Lugari,10300390,4.5,116,3.866667,1.163793,5.818965,6,10,2014/07/01,2015/08/06,1
,Lugari,10300391,6,234,7.8,0.7692307,3.846154,5,10,2014/07/01,2015/08/06,1
,Lugari,10300393,4,196,6.533333,0.6122449,3.061224,4,8,2014/07/03,2015/08/05,1
