ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country,vcs014_mtg_date
,28,Srk,10,2014,2,28-Jun-14
,37,Mfw,10,2014,2,09-Jan-14
,37,Mfw,10,2014,2,19-Dec-13
,56,Mfw,10,2014,2,10-Jan-13
,30,Srk,10,2014,2,10-Jul-14
,56,Mfw,10,2014,2,13-Dec-13
,43,Srk,10,2014,2,04-Dec-13
,36,Mfw,10,2014,2,17-Dec-13
,27,Mfw,10,2014,2,09-Jan-14
,41,Srk,10,2014,2,23-Jun-14
,24,Mfw,10,2014,2,13-Nov-13
,25,Srk,10,2014,2,08-Jul-14
,69,Srk,10,2014,2,26-Jun-14
,46,Mbl1,10,2014,2,16-Jul-14
,78,Mfw,10,2014,2,02-Dec-13
,23,Srk,10,2014,2,26-Jun-14
,24,Srk,10,2014,2,09-Jul-14
,43,Mbl1,10,2014,2,17-Jul-14
,21,Mbl1,10,2014,2,12-Jul-14
,33,Mfw,10,2014,2,14-Dec-13
,65,Mfw,10,2014,2,16-Dec-13
,26,Srk,10,2014,2,02-Dec-13
,40,Mfw,10,2014,2,14-Nov-13
,52,Mfw,10,2014,2,08-Jan-14
,40,Mfw,10,2014,2,21-Jan-14
,53,Srk,10,2014,2,04-Nov-13
,26,Mfw,10,2014,2,06-Dec-13
,25,Srk,10,2014,2,18-Jun-14
,32,Mfw,10,2014,2,08-Jan-14
,46,Mbl1,10,2014,2,03-Jul-14
,62,Srk,10,2014,2,03-Dec-13
,74,Mfw,10,2014,2,05-Dec-13
,40,Mfw,10,2014,2,13-Nov-13
,29,Mbl1,10,2014,2,20-Jun-14
,38,Srk,10,2014,2,07-Jul-14
,21,Mfw,10,2014,2,02-Nov-13
,63,Srk,10,2014,2,04-Dec-13
,31,Srk,10,2014,2,12-Jul-14
,29,Mbl1,10,2014,2,01-Jul-14
,40,Mfw,10,2014,2,07-Dec-13
,27,Srk,10,2014,2,02-Jul-14
,33,Srk,10,2014,2,25-Jun-14
,41,Mfw,10,2014,2,14-Dec-13
,73,Mfw,10,2014,2,16-Dec-13
,21,Srk,10,2014,2,20-Jun-14
,30,Srk,10,2014,2,07-Jul-14
,26,Srk,10,2014,2,07-Jul-14
,30,Mfw,10,2014,2,13-Jan-14
,41,Srk,10,2014,2,04-Dec-13
,50,Mfw,10,2014,2,14-Nov-13
,55,Mfw,10,2014,2,16-Dec-13
,35,Mbl1,10,2014,2,12-Jul-14
,54,Srk,10,2014,2,25-Jun-14
,25,Srk,10,2014,2,18-Jun-14
,42,Mfw,10,2014,2,19-Dec-13
,46,Mbl1,10,2014,2,14-Jul-14
,74,Mfw,10,2014,2,05-Dec-13
,24,Srk,10,2014,2,04-Jul-14
,55,Mfw,10,2014,2,18-Dec-13
,96,Mfw,10,2014,2,22-Dec-13
,119,Mfw,10,2014,2,03-Dec-13
,80,Mfw,10,2014,2,17-Dec-13
,49,Mfw,10,2014,2,09-Jan-14
,34,Srk,10,2014,2,11-Jul-14
,28,Srk,10,2014,2,04-Jul-14
,70,Mfw,10,2014,2,14-Dec-13
,38,Srk,10,2014,2,21-Jun-14
,27,Mfw,10,2014,2,18-Dec-13
,32,Mbl1,10,2014,2,11-Jul-14
,55,Mbl1,10,2014,2,07-Jul-14
,46,Mbl1,10,2014,2,12-Jun-14
,31,Srk,10,2014,2,26-Jun-14
,72,Mfw,10,2014,2,18-Dec-13
,42,Mfw,10,2014,2,17-Dec-13
,33,Mbl1,10,2014,2,19-Jul-14
,73,Mfw,10,2014,2,18-Dec-13
,38,Srk,10,2014,2,16-Jun-14
,30,Srk,10,2014,2,28-Jun-14
,37,Mbl1,10,2014,2,22-Jul-14
,108,Mfw,10,2014,2,16-Dec-13
,35,Mfw,10,2014,2,04-Dec-13
,28,Mbl1,10,2014,2,11-Jul-14
,26,Mfw,10,2014,2,14-Dec-13
,40,Mbl1,10,2014,2,21-Jun-14
,66,Mfw,10,2014,2,06-Dec-13
,44,Mbl1,10,2014,2,30-Jul-14
,40,Srk,10,2014,2,19-Jun-14
,33,Srk,10,2014,2,08-Jul-14
,48,Mfw,10,2014,2,09-Jan-14
,39,Mfw,10,2014,2,07-Dec-13
,49,Mfw,10,2014,2,21-Jan-14
,53,Mfw,10,2014,2,18-Dec-13
,62,Mbl1,10,2014,2,21-Jun-14
,88,Mfw,10,2014,2,04-Dec-13
,22,Mbl1,10,2014,2,07-Jul-14
,35,Srk,10,2014,2,08-Jul-14
,54,Mbl1,10,2014,2,30-Jul-14
,37,Mbl1,10,2014,2,23-Jun-14
,25,Srk,10,2014,2,03-Jul-14
,40,Mfw,10,2014,2,14-Nov-13
