ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,75,Mfw1,1,2014,2
,51,Mfw1,1,2014,2
,84,Mfw1,1,2014,2
,98,Mfw1,1,2014,2
,44,Mfw1,1,2014,2
,45,Mfw1,1,2014,2
,50,Mfw1,1,2014,2
,25,Mfw1,1,2014,2
,31,Mfw1,1,2014,2
,65,Mfw1,1,2014,2
,21,Mfw1,1,2014,2
,50,Mfw1,1,2014,2
,29,Mfw1,1,2014,2
,22,Mfw1,1,2014,2
,38,Mfw1,1,2014,2
,30,Mfw1,1,2014,2
,24,Mfw1,1,2014,2
,24,Mfw1,1,2014,2
,30,Mfw1,1,2014,2
,55,Mfw1,1,2014,2
,41,Mfw1,1,2014,2
,44,Mfw1,1,2014,2
,55,Mfw1,1,2014,2
,76,Mfw1,1,2014,2
,60,Mfw1,1,2014,2
,31,Mfw1,1,2014,2
,76,Mfw1,1,2014,2
,67,Mfw1,1,2014,2
,40,Mfw1,1,2014,2
,102,Mfw1,1,2014,2
,95,Mfw1,1,2014,2
,41,Mfw1,1,2014,2
,81,Mfw1,1,2014,2
,44,Mfw1,1,2014,2
,70,Mfw1,1,2014,2
,62,Mfw1,1,2014,2
,35,Mfw1,1,2014,2
,21,Mfw1,1,2014,2
,45,Mfw1,1,2014,2
,85,Mfw1,1,2014,2
,60,Mfw1,1,2014,2
,65,Mfw1,1,2014,2
,28,Mfw1,1,2014,2
,45,Mfw1,1,2014,2
,39,Mfw1,1,2014,2
,58,Mfw1,1,2014,2
,41,Mfw1,1,2014,2
,114,Mfw1,1,2014,2
,40,Mfw1,1,2014,2
,43,Mfw1,1,2014,2
,48,Mfw1,1,2014,2
,72,Mfw1,1,2014,2
,50,Mfw1,1,2014,2
,25,Mfw1,1,2014,2
,54,Mfw1,1,2014,2
,94,Mfw1,1,2014,2
,113,Mfw1,1,2014,2
,29,Mfw1,1,2014,2
,48,Mfw1,1,2014,2
,68,Mfw1,1,2014,2
,85,Mfw1,1,2014,2
,92,Mfw1,1,2014,2
,52,Mfw1,1,2014,2
,33,Mfw1,1,2014,2
,30,Mfw1,1,2014,2
,20,Mfw1,1,2014,2
,56,Mfw1,1,2014,2
,30,Mfw1,1,2014,2
,45,Mfw1,1,2014,2
,61,Mfw1,1,2014,2
,45,Mfw1,1,2014,2
,30,Mfw1,1,2014,2
,98,Mfw1,1,2014,2
,52,Mfw1,1,2014,2
,62,Mfw1,1,2014,2
,23,Mfw1,1,2014,2
,38,Mfw1,1,2014,2
,31,Mfw1,1,2014,2
,62,Mfw1,1,2014,2
,44,Mfw1,1,2014,2
,31,Mfw1,1,2014,2
,72,Mfw1,1,2014,2
,65,Mfw1,1,2014,2
,44,Mfw1,1,2014,2
,49,Mfw1,1,2014,2
,66,Mfw1,1,2014,2
,115,Mfw1,1,2014,2
,43,Mfw1,1,2014,2
,36,Mfw1,1,2014,2
,103,Mfw1,1,2014,2
,62,Mfw1,1,2014,2
,88,Mfw1,1,2014,2
,56,Mfw1,1,2014,2
,21,Mfw1,1,2014,2
,34,Mfw1,1,2014,2
,29,Mfw1,1,2014,2
,48,Mfw1,1,2014,2
,32,Mfw1,1,2014,2
,54,Mfw1,1,2014,2
,64,Mfw1,1,2014,2
,107,Mfw1,1,2014,2
,64,Mfw1,1,2014,2
,57,Mfw1,1,2014,2
,49,Mfw1,1,2014,2
,79,Mfw1,1,2014,2
,42,Mfw1,1,2014,2
,80,Mfw1,1,2014,2
,70,Mfw1,1,2014,2
,42,Mfw1,1,2014,2
,31,Mfw1,1,2014,2
,38,Mfw1,1,2014,2
,49,Mfw1,1,2014,2
,58,Mfw1,1,2014,2
,67,Mfw1,1,2014,2
,78,Mfw1,1,2014,2
,42,Mfw1,1,2014,2
,41,Mfw1,1,2014,2
,37,Mfw1,1,2014,2
,61,Mfw1,1,2014,2
,85,Mfw1,1,2014,2
,44,Mfw1,1,2014,2
,80,Mfw1,1,2014,2
,80,Mfw1,1,2014,2
,54,Mfw1,1,2014,2
,120,Mfw1,1,2014,2
,38,Mfw1,1,2014,2
,44,Mfw1,1,2014,2
,53,Mfw1,1,2014,2
,62,Mfw1,1,2014,2
,60,Mfw1,1,2014,2
,162,Mfw1,1,2014,2
,220,Mfw1,1,2014,2
,88,Mfw1,1,2014,2
,45,Mfw1,1,2014,2
,101,Mfw1,1,2014,2
,51,Mfw1,1,2014,2
,30,Mfw1,1,2014,2
,31,Mfw1,1,2014,2
,86,Mfw1,1,2014,2
,29,Mfw1,1,2014,2
,50,Mfw1,1,2014,2
,61,Mfw1,1,2014,2
,35,Mfw1,1,2014,2
,69,Mfw1,1,2014,2
,48,Mfw1,1,2014,2
,46,Mfw1,1,2014,2
,144,Mfw1,1,2014,2
,59,Mfw1,1,2014,2
,211,Mfw1,1,2014,2
,82,Mfw1,1,2014,2
,33,Mfw1,1,2014,2
,68,Mfw1,1,2014,2
,50,Mfw1,1,2014,2
