id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country,
,SYA,10221165,19.5,598,19.93333,0.9782609,4.891304,9,23,2013/09/14,2015/05/05,5,2015,1,
,SYA,10221166,24,800,26.66667,0.9,4.5,9,27,2013/09/11,2015/11/20,11,2015,1,
,SYA,10221167,7.5,313,10.43333,0.7188498,3.594249,3,10,2014/01/11,2014/11/20,11,2014,1,
,SYA,10221168,9,296,9.866667,0.9121621,4.560811,5,11,2014/03/26,2015/01/16,1,2015,1,
,SYA,10221170,6,545,18.16667,0.3302752,1.651376,3,9,2013/10/02,2015/03/31,3,2015,1,
,SYA,10221171,5,165,5.5,0.9090909,4.545455,3,7,2014/06/07,2014/11/19,11,2014,1,
,SYA,10221172,5,215,7.166667,0.6976745,3.488372,3,7,2014/08/20,2015/03/23,3,2015,1,
,SYA,10221173,15,535,17.83333,0.8411215,4.205607,8,20,2013/10/03,2015/03/23,3,2015,1,
,SYA,10221174,19.5,532,17.73333,1.099624,5.49812,16,37,2013/09/16,2015/03/23,3,2015,1,
,SYA,10221175,16,535,17.83333,0.8971962,4.485981,6,19,2013/10/04,2015/03/23,3,2015,1,
,SYA,10221176,4,535,17.83333,0.2242991,1.121495,3,7,2013/10/04,2015/03/23,3,2015,1,
,SYA,10221177,7.5,424,14.13333,0.5306604,2.653302,5,10,2014/01/23,2015/03/23,3,2015,1,
,SYA,10221181,9,412,13.73333,0.6553398,3.276699,5,12,2013/10/03,2014/11/19,11,2014,1,
,SYA,10221182,5,298,9.933333,0.5033557,2.516778,3,8,2014/06/06,2015/03/31,3,2015,1,
